"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"SmartLink Network Systems Ltd.","Technology","Computer Hardware","100.85","Dec 24, 2015","128.65","55","39.36","0.74","1.99","-6.09","4.37","65.3"
"Sofcom Systems Ltd.","Technology","Computer Software","36.5","Dec 24, 2015","80","12.5","229.78","3.7","0","249.62","2.53","-12.09"
"Softbpo Global Services Ltd.","Technology","Computer Software","111","Aug 17, 2015","111","111","0","-0.55","0","-60.1","-","-"
"Softech Infinium Solutions Ltd.","Technology","Computer Software","2.4","Dec 11, 2015","5.83","2.32","5.75","0.24","0","7.5","0.24","-4.6"
"Softsol India Ltd.","Technology","Computer Software","60.15","Dec 24, 2015","65","39.15","62.81","0.56","0","10.02","18.46","-42.58"
"Software Technology Group International Ltd.","Technology","Computer Software","1.65","Dec 24, 2015","2.85","1.65","0","0.43","0","-33.39","153.01","65.91"
"Sonata Software Ltd.","Technology","Computer Software","175.55","Dec 24, 2015","186","120","12.45","3.71","3.99","7.58","1.06","24.02"
"Spanco Ltd.","Technology","Computer Software","3.12","Mar 30, 2015","6.64","3.12","0","-","0","-4.83","0.01","-0.11"
"Sparc Systems Ltd.","Technology","Computer Software","3.62","Dec 24, 2015","8.26","2.51","0","0.52","0","-2.44","55.31","11.59"
"Spectacle Infotek Ltd.","Technology","Computer Software","1.25","Dec 24, 2015","1.25","0.7","0","26.75","0","-1.04","-","-"
"SQL Star International Ltd.","Technology","Computer Software","1.08","Dec 27, 2013","-","-","0","-0.09","0","-3.8","0.13","-1.71"
"SQS India BFSI Ltd.","Technology","Computer Software","1071.15","Dec 24, 2015","1140","505.1","42.14","9.47","2.23","23.19","4.92","34.04"
"Sterling International Enterprises Ltd.","Technology","Computer Software","2.36","Dec 24, 2015","7.39","1.16","1.61","0.03","0","1.36","0.11","1.46"
"Stocknet International Ltd.","Technology","Computer Software","1.01","Jul 10, 2012","-","-","0","0.06","0","-27.82","0.62","-"
"Subex Ltd.","Technology","Computer Software","11.85","Dec 24, 2015","18.35","9.05","15.68","0.95","0","13.05","1.4","7.6"
"Svam Softwares Ltd.","Technology","Computer Software","0.52","Dec 24, 2015","0.93","0.36","6.06","0.04","0","-0.64","1.68","0.22"
"T Spiritual World Ltd.","Technology","Computer Software","0.75","Dec 24, 2015","1.03","0.48","9.26","0.06","0","4.08","1.58","-23.14"
"Taksheel Solutions Ltd.","Technology","Computer Software","3.25","Dec 27, 2013","-","-","0.64","0.04","0","0.64","0.04","-0.07"
"Tata Consultancy Services Ltd.","Technology","Computer Software","2434.25","Dec 24, 2015","2812.1","2315.25","22.86","7.89","3.25","16.57","5.99","24.57"
"Tata Elxsi Ltd.","Technology","Computer Software","2267.85","Dec 24, 2015","2329.9","585.1","53.27","19.72","0.49","30.57","7.36","49.39"
"Tech Mahindra Ltd.","Technology","Computer Software","516.95","Dec 24, 2015","748.78","458.5","18.29","3.64","1.16","11.99","2.51","20.75"
"Teledata Marine Solutions Ltd.","Technology","Computer Software","0.29","Jul 10, 2012","-","-","0","-","0","-","-","-0.03"
"Tera Software Ltd.","Technology","Computer Software","90.5","Dec 24, 2015","104.95","26","18.49","1.55","0.88","8.02","1.16","19.13"
"Total Exports Ltd.","Technology","Computer Hardware","31.25","Dec 24, 2015","38.55","18.9","0","7.5","0","-91.94","-","-"
"Trigyn Technologies Ltd.","Technology","Computer Software","85.7","Dec 24, 2015","101.25","26.65","9.21","0.96","0","1359.81","1.65","6916.81"
"Tutis Technologies Ltd.","Technology","Computer Software","2.67","Jun 22, 2015","3.45","2.67","0","0.12","0","-139.99","-","-"
"Twinstar Industries Ltd.","Technology","Computer Software","2.03","Dec 24, 2015","2.58","0.72","8.23","0.2","0","2.29","0.05","4.41"
"Unisys Software & Holding Inds. Ltd.","Technology","Computer Software","44","Dec 23, 2015","80.85","42.9","288.32","1.69","0","42.59","0.19","-0.57"
"United Interactive Ltd.","Technology","Computer Software","49","Dec 17, 2015","62.8","48.05","280.37","13.93","0","182.41","-","-"
"USG Tech Solutions Ltd.","Technology","Computer Software","2.12","Dec 07, 2015","5.24","2.04","18.69","0.2","0","22.56","6.26","18.15"
"Usha Martin Education & Solutions Ltd.","Technology","Computer Software","2.9","Dec 24, 15:19","5.1","2.45","0","0.42","0","-5.57","3.52","-23.71"
"Vaishnavi Gold Ltd.","Technology","Computer Software","0.95","Dec 24, 2015","1.89","0.95","49.32","0.08","52.63","482.65","0.03","0.29"
"Vakrangee Ltd.","Technology","Computer Software","176.3","Dec 24, 2015","191.8","86.4","26.96","6.77","0.14","12.39","3.22","-8501.82"
"Valuemart Info Technologies Ltd","Technology","Computer Software","0.38","Jun 22, 2015","0.56","0.38","2.62","0.09","0","0.81","0.19","1.69"
"VCU Data Management Ltd.","Technology","Computer Software","26","Dec 22, 2015","38","21.5","44.07","1.5","0","-","-","-"
"VEDAVAAG Systems Ltd.","Technology","Computer Software","46.35","Dec 24, 2015","51.75","8.61","13.37","1.79","0","3.46","0.68","-10.8"
"Venus Power Ventures (India) Ltd.","Technology","Computer Software","1.04","Nov 30, 2015","2.1","1.04","0.8","0.07","0","0.67","0.05","15.79"
"Vertex Spinning Ltd.","Technology","Computer Software","1.89","Dec 18, 2015","17.45","1.64","0","0.4","0","290.79","26.49","-52.54"
"Vintron Informatics Ltd.","Technology","Computer Hardware","3.16","Dec 24, 2015","4.1","1.81","0","3.53","0","87.99","1.4","92.7"
"Virgo Global Media Ltd.","Technology","Computer Software","2.15","Dec 24, 2015","4.7","0.65","0","7.84","0","231.42","18.66","-"
"Virinchi Technologies Ltd.","Technology","Computer Software","56.25","Dec 24, 2015","56.25","18.4","12.57","0.9","0","5.82","1.03","8.77"
"Virtualsoft Systems Ltd.","Technology","Computer Software","4.6","Oct 19, 2015","5.8","4.51","0","-0.94","0","-4.92","0.42","-1.1"
"Visesh Infotecnics Ltd.","Technology","Computer Software","0.1","Dec 24, 2015","0.2","0.05","0","0.07","0","-14.23","0.12","3070.07"
"Visu International Ltd","Technology","Computer Software","1.85","Dec 24, 2015","1.85","0.35","0","4.98","0","-29.07","0.85","21.36"
"VJIL Consulting Ltd.","Technology","Computer Software","15","Dec 24, 2015","15.44","7.04","25.57","-3.34","0","23.66","1.47","1127.7"
"VXL Instruments Ltd.","Technology","Computer Hardware","10.51","Dec 24, 2015","26.5","10.45","0","2.65","0","-3.39","0.21","-11.95"
"Wipro Ltd.","Technology","Computer Software","557.2","Dec 24, 2015","677.6","512.5","15.45","3.17","2.16","10.33","3.21","17.56"
"Women Networks Ltd.","Technology","Computer Software","2.6","Dec 23, 2015","3.36","1.49","0","0.19","0","13.86","0.63","-31.15"
"Xchanging Solutions Ltd.","Technology","Computer Software","59.15","Dec 24, 2015","60.6","22.65","97.42","3.54","0","23.23","5.21","1116.87"
"XO Infotech Ltd.","Technology","Computer Hardware","0.73","Aug 25, 2015","2.15","0.73","0","0.14","0","157.01","-707.05","-0.49"
"Zen Technologies Ltd.","Technology","Computer Software","122.35","Dec 24, 2015","128","49","25.02","7.84","0.29","19.25","8.39","-47.01"
"Zenith Computers Ltd.","Technology","Computer Hardware","2.7","Dec 24, 2015","4.5","2.2","0","-0.06","0","-4.95","0.53","-0.36"
"Zenith Infotech Ltd.","Technology","Computer Software","2.6","Nov 20, 2014","-","-","0","0.28","0","-3.6","0.02","-0.21"
"Zensar Technologies Ltd.","Technology","Computer Hardware","1037.35","Dec 24, 2015","1117.45","585","14.98","3.45","1.06","9.43","1.62","14.41"
"Zigma Software Ltd.","Technology","Computer Software","2.07","Jul 10, 2012","-","-","0","0.11","0","-42.11","-","-"
"Zylog Systems Ltd.","Technology","Computer Software","3.6","Dec 24, 2015","7.75","2.55","0","-0.07","0","-7.2","0.09","-0.24"
