"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"Comp-U-Learn Tech India Ltd.","Technology","Computer Software","0.76","Dec 24, 2015","2","0.76","31.6","0.05","0","20.06","0.12","-"
"Computer Point Ltd.","Technology","Computer Hardware","1.2","Dec 24, 2015","1.34","0.7","10.06","0.11","0","7.49","0.14","-1.51"
"Concurrent (India) Infrastructure Ltd.","Technology","Computer Software","1.13","Sep 17, 2013","-","-","9.01","0.07","0","9.93","0.73","-1.96"
"Coral Hub Ltd.","Technology","Computer Software","0.71","Mar 20, 2013","-","-","0","0.01","84.51","-","-","-"
"Core Education & Technologies Ltd.","Technology","Computer Software","2.7","Dec 21, 2015","14","2.56","0","-0.23","0","14.88","0.13","0.05"
"COVIDH TECHNOLOGIES LTD.","Technology","Computer Software","10.4","Dec 24, 2015","12.5","5.6","42.89","0.78","0","16.37","0.66","-"
"CSS Technergy Ltd","Technology","Computer Software","34.9","Dec 24, 2015","34.9","8.55","8.16","2.07","0","8.01","1.11","42.92"
"Cura Technologies Ltd.","Technology","Computer Software","9.15","Dec 24, 15:19","21","5.5","0","0.16","0","-4.29","1.26","-0.86"
"Cybermate Infotek Ltd.","Technology","Computer Software","0.78","Dec 24, 2015","1.06","0.5","0","0.07","0","-","-","-"
"Cyberscape Multimedia Ltd.","Technology","Computer Software","1.89","Dec 18, 2015","2.08","0.44","0","-45.36","0","-0.34","76.33","-112.5"
"Cybertech Systems & Software Ltd.","Technology","Computer Software","56.8","Dec 24, 2015","69.35","23.5","103.43","2.2","1.75","21.07","2.27","73.84"
"Cyient Limited","Technology","Computer Software","469.3","Dec 24, 2015","642.75","458","14.38","2.87","1.7","8.73","1.8","14.59"
"Danlaw Technologies India Ltd.","Technology","Computer Software","97.2","Dec 24, 2015","113.8","16","14.85","1.41","0","5.85","2.74","112.41"
"Datamatics Global Services Ltd.","Technology","Computer Software","66.35","Dec 24, 2015","99","40.1","12.66","1","1.5","5.07","0.48","6.77"
