"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","1-Year Revenue Growth","1-Year EPS Growth","1-Year Book Value Growth","3-Year Revenue Griowth","3-Year EPS Growth","3 Year Book Value Growth","5 Year Revenue Growth","5-Year EPS Growth","5 Year Book Value Growth"
"T Spiritual World Ltd.","Technology","Computer Software","25.76","94.72","-0.37","-59.38","-10.43","0.13","-47.69","-13.32","0.37"
"Taksheel Solutions Ltd.","Technology","Computer Software","16.9","-63.6","58.54","73.09","42.31","21.88","71.28","-14.85","31.76"
"Tata Consultancy Services Ltd.","Technology","Computer Software","15.69","3.75","2.93","24.63","24.05","19.73","25.81","23.22","22.47"
"Tata Elxsi Ltd.","Technology","Computer Software","9.63","41.18","20.24","16.39","43.41","13.87","16.95","15.88","10.11"
"Tech Mahindra Ltd.","Technology","Computer Software","20.13","-15.66","28.4","60.32","8.38","16.22","37.36","13.82","15.86"
"Teledata Marine Solutions Ltd.","Technology","Computer Software","-61.9","-348.9","-5.13","-0.71","-124.57","-61","-","-","-"
"Tera Software Ltd.","Technology","Computer Software","-10.25","79.14","-14.32","-23.06","-41.99","-3.87","-2.69","-17.8","4.35"
"Total Exports Ltd.","Technology","Computer Hardware","-","21.8","322.63","-","17.41","162.35","-","-241.14","27.46"
"Trigyn Technologies Ltd.","Technology","Computer Software","9.12","-69.74","11.03","21.63","31.5","44.89","20.42","18.16","57.21"
"Tutis Technologies Ltd.","Technology","Computer Software","-27.39","-1093.51","-84.21","10.31","-642.1","-44.35","-19.02","-224.98","-36.67"
"Twinstar Industries Ltd.","Technology","Computer Software","40.26","130.03","2.54","45.98","-16.93","1.38","37.28","28.25","2.15"
"Unisys Software & Holding Inds. Ltd.","Technology","Computer Software","22.56","-24.83","1.19","33.21","-35.3","1.16","130.5","32.84","16.36"
"United Interactive Ltd.","Technology","Computer Software","-","381.86","9.64","-","28.73","5.24","-","15.8","6.15"
"USG Tech Solutions Ltd.","Technology","Computer Software","-60.2","437.5","0.08","-63.72","-63.41","0.51","-47.22","-59.3","-0.89"
"Usha Martin Education & Solutions Ltd.","Technology","Computer Software","-44.59","-521.63","-6.87","-39.93","-248.87","-2","-15.1","-207.62","-19.18"
"Vaishnavi Gold Ltd.","Technology","Computer Software","34.27","-48.8","8.15","-","-","-","-","-","-"
"Vakrangee Ltd.","Technology","Computer Software","42.45","83.87","41.5","27.13","256.07","182.76","45.42","65","23.32"
"Valuemart Info Technologies Ltd","Technology","Computer Software","-18.35","14.72","1.31","8.52","-35.34","7.55","17.64","-28.96","3.46"
"VCU Data Management Ltd.","Technology","Computer Software","69.07","257.46","3.98","-","-","-","-","-","-"
"VEDAVAAG Systems Ltd.","Technology","Computer Software","6.29","-19.61","-20.44","38.32","32.21","0.51","32.04","97.33","1.3"
"Venus Power Ventures (India) Ltd.","Technology","Computer Software","14.89","0.58","1.99","2.94","-3.82","2.03","35.21","-22.74","2.28"
"Vertex Spinning Ltd.","Technology","Computer Software","-63.89","25.76","-19.5","-80.44","6.68","-16.04","-68.5","-234.31","-12.79"
"Vintron Informatics Ltd.","Technology","Computer Hardware","-21.81","175.96","0.83","15.91","-52.63","14.62","19.42","-40.53","30.06"
"Virgo Global Media Ltd.","Technology","Computer Software","3.42","-44.68","3.6","-0.47","-3.3","6.37","18.37","34.08","8.68"
"Virinchi Technologies Ltd.","Technology","Computer Software","22.83","113.81","15.12","26.81","8.6","2.07","19.82","10.02","2.83"
"Virtualsoft Systems Ltd.","Technology","Computer Software","24.82","-117.21","-9.69","-38.16","18.59","14.76","23.72","-0.42","7.18"
"Visesh Infotecnics Ltd.","Technology","Computer Software","32.82","93.24","-0.52","14.66","-192.02","-24.14","13.36","-170.04","-18.55"
"Visu International Ltd","Technology","Computer Software","2.88","97.25","-25.17","-6.38","24.85","-71.11","-19.12","-180.53","-53.78"
"VJIL Consulting Ltd.","Technology","Computer Software","18.03","110.05","4.36","-","-","-","-","-","-"
"VXL Instruments Ltd.","Technology","Computer Hardware","-15.77","-174.5","-3857.48","-3.19","-222.44","15.25","2.17","-284.34","10.8"
"Wipro Ltd.","Technology","Computer Software","8.12","8.83","15.14","8.08","15.44","11.02","11.53","13.12","15.2"
"Women Networks Ltd.","Technology","Computer Software","5.49","1825","-0.24","-5.69","15.29","-0.07","-37.99","17.94","6.28"
"Xchanging Solutions Ltd.","Technology","Computer Software","18.04","-17.16","9.15","-19.58","-63.98","8.69","-24.8","15.63","27.71"
"XO Infotech Ltd.","Technology","Computer Hardware","-37.6","90.69","-0.24","252.92","-162.18","-1.02","115.22","-193.28","9.21"
"Zen Technologies Ltd.","Technology","Computer Software","69.46","22838.44","12.68","-8.29","-16.88","7.26","8.5","1.46","9.49"
"Zenith Computers Ltd.","Technology","Computer Hardware","-71.86","25.68","-97.46","-50.4","-364.3","-213.69","-39.02","-273.17","-208.84"
"Zenith Infotech Ltd.","Technology","Computer Software","-1.6","-71.03","-51.36","-","-","-","-","-","-"
"Zensar Technologies Ltd.","Technology","Computer Hardware","13.74","9.99","20.88","13.97","17.75","25.31","22.76","15.09","27.86"
"Zigma Software Ltd.","Technology","Computer Software","-97.5","-6351.01","-0.44","-77.06","-312.58","2.35","-68.24","-231.39","-4.63"
"Zylog Systems Ltd.","Technology","Computer Software","-76.23","-13.97","-143.13","-43.45","-220.24","-147.73","-15.95","-228.63","-170.32"
