"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","1-Year Revenue Growth","1-Year EPS Growth","1-Year Book Value Growth","3-Year Revenue Griowth","3-Year EPS Growth","3 Year Book Value Growth","5 Year Revenue Growth","5-Year EPS Growth","5 Year Book Value Growth"
"Core Education & Technologies Ltd.","Technology","Computer Software","-37.78","-168.58","-105.94","-22.28","-259.23","-139.83","-1.92","-246.02","-164.74"
"COVIDH TECHNOLOGIES LTD.","Technology","Computer Software","-53.28","188.8","0.91","20.07","-13.23","-5.94","15.16","-3.4","-3.17"
"CSS Technergy Ltd","Technology","Computer Software","58.36","158.3","8.9","-12.39","-3.05","-26.17","13.32","66.64","-15.69"
"Cura Technologies Ltd.","Technology","Computer Software","-14.13","-605.64","-211.39","-15","-337.77","-213.09","-11.57","-317.85","-214.09"
"Cybermate Infotek Ltd.","Technology","Computer Software","16.71","-111171.95","-28.21","-1.28","-395.22","-11.7","0.15","-302.07","-6.99"
"Cyberscape Multimedia Ltd.","Technology","Computer Software","-18.41","71.2","-2.95","-67.74","8.18","-7.23","-56.57","9.73","-4.5"
"Cybertech Systems & Software Ltd.","Technology","Computer Software","-7.36","-33.35","-1.01","6.64","1.82","6.53","8","18.77","4.08"
"Cyient Limited","Technology","Computer Software","-","32.31","15.69","-","29.47","16.47","-","15.35","14.98"
"Danlaw Technologies India Ltd.","Technology","Computer Software","-10.38","11.32","7.1","7.39","59.36","7.82","13","55.99","4.47"
"Datamatics Global Services Ltd.","Technology","Computer Software","12.84","-11.27","13.72","23.28","17.38","12.07","25.84","14.26","9.84"
"Datasoft Application Software (India) Ltd.","Technology","Computer Software","-","-37.49","18.08","-","-4.39","13.78","-","-5.55","9.22"
"Dynacons Systems & Solutions Ltd.","Technology","Computer Hardware","35.7","18.72","-1.65","26.41","-12.64","1.79","22.48","-13.91","-9.75"
"Edserv Softsystems Ltd.","Technology","Computer Software","-20.48","-256.32","27.8","118.42","-189.89","52.31","242.01","-373.07","151.46"
