"Value Research Online"
"Date: 27-Dec-2015 16:21"
"Company","Sector","Industry","Price","PriceDate","1-Day Chg. (%)","52-Week High","52-Week Low","P/E","P/B","Enterprise Value (Cr)","Market Cap (Cr)"
"Sterling International Enterprises Ltd.","Technology","Computer Software","2.36","Dec 24, 2015","0","7.39","1.16","1.61","0.03","338.84","64.05"
"Stocknet International Ltd.","Technology","Computer Software","1.01","Jul 10, 2012","4.12","-","-","0","0.06","0.53","0.56"
"Subex Ltd.","Technology","Computer Software","11.85","Dec 24, 2015","0.42","18.35","9.05","15.68","0.95","1169.81","501.88"
"Svam Softwares Ltd.","Technology","Computer Software","0.52","Dec 24, 2015","1.96","0.93","0.36","6.06","0.04","-0.24","0.88"
"T Spiritual World Ltd.","Technology","Computer Software","0.75","Dec 24, 2015","-3.85","1.03","0.48","9.26","0.06","1.45","1.5"
"Taksheel Solutions Ltd.","Technology","Computer Software","3.25","Dec 27, 2013","4.84","-","-","0.64","0.04","10.04","7.1"
"Tata Consultancy Services Ltd.","Technology","Computer Software","2434.25","Dec 24, 2015","0.35","2812.1","2315.25","22.86","7.89","456013.9","475704.84"
"Tata Elxsi Ltd.","Technology","Computer Software","2267.85","Dec 24, 2015","-0.68","2329.9","585.1","53.27","19.72","6911.61","7044.87"
"Tech Mahindra Ltd.","Technology","Computer Software","516.95","Dec 24, 2015","-0.21","748.78","458.5","18.29","3.64","47585.86","50094.76"
"Teledata Marine Solutions Ltd.","Technology","Computer Software","0.29","Jul 10, 2012","0","-","-","0","-","204.56","2.63"
"Tera Software Ltd.","Technology","Computer Software","90.5","Dec 24, 2015","-2.32","104.95","26","18.49","1.55","150.51","113.23"
"Total Exports Ltd.","Technology","Computer Hardware","31.25","Dec 24, 2015","-2.8","38.55","18.9","0","7.5","25.28","25.2"
"Trigyn Technologies Ltd.","Technology","Computer Software","85.7","Dec 24, 2015","0.12","101.25","26.65","9.21","0.96","242.05","253.23"
"Tutis Technologies Ltd.","Technology","Computer Software","2.67","Jun 22, 2015","-1.84","3.45","2.67","0","0.12","9.52","4.47"
"Twinstar Industries Ltd.","Technology","Computer Software","2.03","Dec 24, 2015","2.01","2.58","0.72","8.23","0.2","6.47","4.57"
"Unisys Software & Holding Inds. Ltd.","Technology","Computer Software","44","Dec 23, 2015","0.57","80.85","42.9","288.32","1.69","116.75","101.2"
"United Interactive Ltd.","Technology","Computer Software","49","Dec 17, 2015","-1.9","62.8","48.05","280.37","13.93","8.21","8.97"
"USG Tech Solutions Ltd.","Technology","Computer Software","2.12","Dec 07, 2015","-4.93","5.24","2.04","18.69","0.2","15.77","8.36"
"Usha Martin Education & Solutions Ltd.","Technology","Computer Software","2.9","Dec 24, 15:19","0","5.1","2.45","0","0.42","8.98","7.66"
"Vaishnavi Gold Ltd.","Technology","Computer Software","0.95","Dec 24, 2015","-4.04","1.89","0.95","49.32","0.08","23.65","1.87"
"Vakrangee Ltd.","Technology","Computer Software","176.3","Dec 24, 2015","0.03","191.8","86.4","26.96","6.77","9725.4","9347.56"
"Valuemart Info Technologies Ltd","Technology","Computer Software","0.38","Jun 22, 2015","0","0.56","0.38","2.62","0.09","3.92","2.4"
"VCU Data Management Ltd.","Technology","Computer Software","26","Dec 22, 2015","0","38","21.5","44.07","1.5","39.78","40.3"
"VEDAVAAG Systems Ltd.","Technology","Computer Software","46.35","Dec 24, 2015","0","51.75","8.61","13.37","1.79","60.11","63.18"
"Venus Power Ventures (India) Ltd.","Technology","Computer Software","1.04","Nov 30, 2015","-4.59","2.1","1.04","0.8","0.07","1.71","1.58"
"Vertex Spinning Ltd.","Technology","Computer Software","1.89","Dec 18, 2015","5","17.45","1.64","0","0.4","29.08","3.76"
"Vintron Informatics Ltd.","Technology","Computer Hardware","3.16","Dec 24, 2015","3.95","4.1","1.81","0","3.53","34.67","24.76"
"Virgo Global Media Ltd.","Technology","Computer Software","2.15","Dec 24, 2015","0","4.7","0.65","0","7.84","1.85","2.26"
"Virinchi Technologies Ltd.","Technology","Computer Software","56.25","Dec 24, 2015","2.27","56.25","18.4","12.57","0.9","107.43","101.17"
"Virtualsoft Systems Ltd.","Technology","Computer Software","4.6","Oct 19, 2015","1.1","5.8","4.51","0","-0.94","25.35","4.74"
"Visesh Infotecnics Ltd.","Technology","Computer Software","0.1","Dec 24, 2015","0","0.2","0.05","0","0.07","26.06","30.2"
"Visu International Ltd","Technology","Computer Software","1.85","Dec 24, 2015","2.78","1.85","0.35","0","4.98","22.97","7.67"
"VJIL Consulting Ltd.","Technology","Computer Software","15","Dec 24, 2015","3.45","15.44","7.04","25.57","-3.34","14.26","11.79"
"VXL Instruments Ltd.","Technology","Computer Hardware","10.51","Dec 24, 2015","-1.31","26.5","10.45","0","2.65","16.57","14"
"Wipro Ltd.","Technology","Computer Software","557.2","Dec 24, 2015","0.16","677.6","512.5","15.45","3.17","123414.59","137334.09"
"Women Networks Ltd.","Technology","Computer Software","2.6","Dec 23, 2015","0","3.36","1.49","0","0.19","1.01","1.13"
"Xchanging Solutions Ltd.","Technology","Computer Software","59.15","Dec 24, 2015","1.81","60.6","22.65","97.42","3.54","582.32","655.61"
"XO Infotech Ltd.","Technology","Computer Hardware","0.73","Aug 25, 2015","-3.95","2.15","0.73","0","0.14","-3.14","3.54"
"Zen Technologies Ltd.","Technology","Computer Software","122.35","Dec 24, 2015","4.53","128","49","25.02","7.84","946.93","944.82"
"Zenith Computers Ltd.","Technology","Computer Hardware","2.7","Dec 24, 2015","3.85","4.5","2.2","0","-0.06","92.56","4.18"
"Zenith Infotech Ltd.","Technology","Computer Software","2.6","Nov 20, 2014","-3.7","-","-","0","0.28","248.67","3.3"
"Zensar Technologies Ltd.","Technology","Computer Hardware","1037.35","Dec 24, 2015","-0.25","1117.45","585","14.98","3.45","4509","4623.8"
"Zigma Software Ltd.","Technology","Computer Software","2.07","Jul 10, 2012","0.98","-","-","0","0.11","8.42","8.64"
"Zylog Systems Ltd.","Technology","Computer Software","3.6","Dec 24, 2015","4.35","7.75","2.55","0","-0.07","1027.31","21.53"
