"Value Research Online"
"Date: 27-Dec-2015 16:21"
"Company","Sector","Industry","Price","PriceDate","1-Day Chg. (%)","52-Week High","52-Week Low","P/E","P/B","Enterprise Value (Cr)","Market Cap (Cr)"
"Concurrent (India) Infrastructure Ltd.","Technology","Computer Software","1.13","Sep 17, 2013","1.8","-","-","9.01","0.07","20.31","4.87"
"Coral Hub Ltd.","Technology","Computer Software","0.71","Mar 20, 2013","-4.05","-","-","0","0.01","-131.88","1.72"
"Core Education & Technologies Ltd.","Technology","Computer Software","2.7","Dec 21, 2015","0.37","14","2.56","0","-0.23","2149.93","30.93"
"COVIDH TECHNOLOGIES LTD.","Technology","Computer Software","10.4","Dec 24, 2015","-0.76","12.5","5.6","42.89","0.78","17.31","11.02"
"CSS Technergy Ltd","Technology","Computer Software","34.9","Dec 24, 2015","0","34.9","8.55","8.16","2.07","27.85","26.18"
"Cura Technologies Ltd.","Technology","Computer Software","9.15","Dec 24, 15:19","0","21","5.5","0","0.16","89.28","8.12"
"Cybermate Infotek Ltd.","Technology","Computer Software","0.78","Dec 24, 2015","-2.5","1.06","0.5","0","0.07","8.97","5.65"
"Cyberscape Multimedia Ltd.","Technology","Computer Software","1.89","Dec 18, 2015","-4.55","2.08","0.44","0","-45.36","1.88","1.91"
"Cybertech Systems & Software Ltd.","Technology","Computer Software","56.8","Dec 24, 2015","-4.38","69.35","23.5","103.43","2.2","141.78","152.87"
"Cyient Limited","Technology","Computer Software","469.3","Dec 24, 2015","-0.06","642.75","458","14.38","2.87","4778.99","5288.08"
"Danlaw Technologies India Ltd.","Technology","Computer Software","97.2","Dec 24, 2015","-2.46","113.8","16","14.85","1.41","22.83","36.16"
"Datamatics Global Services Ltd.","Technology","Computer Software","66.35","Dec 24, 2015","0.76","99","40.1","12.66","1","357.58","394.08"
"Datasoft Application Software (India) Ltd.","Technology","Computer Software","1.48","Dec 09, 2015","-4.52","1.63","1.43","25.85","-2.92","0.47","0.47"
"Dynacons Systems & Solutions Ltd.","Technology","Computer Hardware","14.5","Dec 24, 2015","2.11","14.9","6.55","10.13","0.5","15.07","8.23"
"Edserv Softsystems Ltd.","Technology","Computer Software","2.07","Mar 07, 2014","-4.61","-","-","0","0.02","-107.94","5.45"
"Encore Software Ltd.","Technology","Computer Software","7.1","Aug 11, 2015","4.41","7.99","3.7","0","-0.18","21.94","4.59"
"FCS Software Solutions Ltd.","Technology","Computer Software","0.45","Dec 24, 2015","-10","0.6","0.2","0","0.19","44.59","81.32"
"Financial Technologies (India) Ltd.","Technology","Computer Software","117.4","Dec 24, 2015","-2.89","221.8","95.6","0","0.2","-1001.95","539.58"
"Fintech Communication Ltd.","Technology","Computer Software","1.96","Dec 04, 2015","-4.85","3.05","1.96","0","-6.1","0.91","0.93"
"Firstobject Technologies Ltd","Technology","Computer Software","9.12","Dec 24, 2015","3.75","10.69","4.9","0","0.28","10.74","9.49"
"Fourth Generation Information Systems Ltd.","Technology","Computer Software","5.51","Dec 24, 2015","0","7.59","2.09","0","7.97","1.95","1.96"
"Frontier Informatics Ltd.","Technology","Computer Software","0.4","Dec 24, 2015","2.56","0.57","0.34","0","-0.35","2.53","0.53"
"Funny Software Ltd.","Technology","Computer Software","9.95","Jul 01, 2015","-4.97","13.5","9.95","252.64","0.9","12.09","12.32"
"Futuristic Solutions Ltd.","Technology","Computer Software","44.75","Nov 24, 2015","-4.99","70.4","39.4","24.33","3.15","47.39","46.87"
"Gamma Infoway Exalt Ltd.","Technology","Computer Hardware","0.65","Feb 28, 2015","0","0.72","0.61","0","0.12","0.33","0.32"
"Gemini Communication Ltd.","Technology","Computer Hardware","3.2","Dec 24, 2015","4.92","3.45","0.6","0","-0.11","385.85","41.26"
"Genesys International Corpn. Ltd.","Technology","Computer Software","92","Dec 24, 2015","1.38","98.7","43","46.31","1.31","286.58","277.99"
"Geodesic Ltd.","Technology","Computer Software","1.49","Aug 19, 2014","-4.49","-","-","0","0.02","689.02","13.46"
"Geometric Ltd.","Technology","Computer Software","188.35","Dec 24, 2015","2.7","206.7","101.55","19.75","2.81","1106.63","1220.6"
"Glodyne Technoserve Ltd","Technology","Computer Software","0.9","Nov 30, 2015","0","3.93","0.78","0","-0.01","951.46","4.06"
"Goldstone Technologies Ltd.","Technology","Computer Software","4.55","Dec 24, 2015","3.41","8.5","3.6","0","0.13","4.12","8.55"
"Green Field Agri Ventures Ltd.","Technology","Computer Software","47.9","Dec 17, 2015","-0.21","51.8","8.69","120.52","15.21","115.08","114.61"
"GSS Infotech Ltd.","Technology","Computer Software","39.45","Dec 24, 2015","-2.11","44.3","11.9","0","0.38","78.85","66.48"
"HCL Infosystems Ltd.","Technology","Computer Hardware","61.15","Dec 24, 2015","0.25","66.85","30.7","0","1.13","2244.04","1362.04"
"HCL Technologies Ltd.","Technology","Computer Software","860.3","Dec 24, 2015","-0.41","1058.45","746.35","16.82","4.82","111290.25","121191.3"
"Helios & Matheson Information Technology Ltd.","Technology","Computer Software","10.52","Dec 21, 2015","4.99","88.75","8.55","0.51","0.07","259.01","27.79"
"Hexaware Technologies Ltd.","Technology","Computer Software","242.05","Dec 24, 2015","-0.02","335.75","192.65","19.14","4.92","6824.72","7296.31"
"Hindustan Bio Sciences Ltd.","Technology","Computer Software","3.97","Dec 24, 2015","0","3.97","1.22","0","0.58","4.84","4.07"
"Hit Kit Global Solutions Ltd.","Technology","Computer Software","0.33","Dec 24, 2015","3.12","0.33","0.2","0","0.13","-3.64","1.22"
"ICSA (India) Ltd.","Technology","Computer Software","3.3","Dec 24, 2015","0","5.2","2.1","0","-0.01","1169.95","15.89"
"IEC Education Ltd.","Technology","Computer Software","4.04","Dec 24, 2015","4.66","5.8","2.6","116.32","0.18","7.45","6.17"
"IKF Technologies Ltd.","Technology","Computer Software","0.84","Dec 24, 2015","5","1.14","0.5","25.83","0.25","-19.28","36.17"
"Indian Infotech & Software Ltd.","Technology","Computer Software","0.24","Dec 24, 2015","-4","1.06","0.13","19.2","0.1","26.82","24.08"
"Indo-City Infotech Ltd.","Technology","Computer Software","3.4","Dec 24, 2015","-4.76","5","1.64","884","0.26","1.4","3.54"
"Indus Networks Ltd.","Technology","Computer Software","1.91","Jul 10, 2012","-4.5","-","-","0.6","0.07","55.86","1.24"
"Infinite Computer Solutions (India) Ltd.","Technology","Computer Software","216.95","Dec 24, 2015","-1","322.7","122.2","7.52","1","710.52","837.22"
"Info-Drive Software Ltd.","Technology","Computer Software","0.26","Dec 24, 2015","-7.14","1.04","0.13","6.26","0.13","135.48","16.25"
"Informed Technologies India Ltd.","Technology","Computer Software","25.2","Dec 24, 2015","5","37.9","19.95","12.66","0.75","5.67","10.51"
"Infosys Ltd.","Technology","Computer Software","1096.35","Dec 24, 2015","-0.41","1219.8","932.65","19.7","4.39","220471.68","251710.68"
"Infronics Systems Ltd.","Technology","Computer Software","9.74","Oct 26, 2015","4.96","10.3","8.56","0","10.45","16.56","7.72"
"Innovation Software Exports Ltd.","Technology","Computer Software","0.57","Dec 24, 2015","3.64","1.47","0.53","0","0.19","0.17","0.17"
"Integra Telecommunication & Software Ltd.","Technology","Computer Software","40.95","Dec 22, 2015","0","41.65","31.25","0","4.09","43.23","43.24"
"Integrated Hitech Ltd.","Technology","Computer Software","4.83","Dec 16, 2015","-4.92","5.34","2.73","302.01","0.45","4.6","4.83"
"Intellect Design Arena Ltd.","Technology","Computer Software","277.1","Dec 24, 2015","-1.44","302.45","76.55","0","4.64","2533.14","2783.07"
"Intellvisions Software Ltd.","Technology","Computer Software","23.5","Mar 23, 2015","-0.84","35.15","23","10.15","0.69","24.66","26.81"
"Intense Technologies Ltd.","Technology","Computer Software","34.6","Dec 24, 2015","-1.14","84.85","30.4","0","1.48","50.51","75.07"
"Interworld Digital Ltd","Technology","Computer Software","0.12","Dec 24, 2015","0","1.55","0.12","64.5","0.05","7.52","5.74"
"Intrasoft Technologies Ltd.","Technology","Computer Software","448.45","Dec 24, 2015","0.84","600","55.8","93.74","8.04","655.4","664.69"
"IZMO Ltd.","Technology","Computer Software","74.45","Dec 24, 2015","-1.78","87","18.3","17.61","0.5","95.66","89.77"
"Jetking Infotrain Ltd.","Technology","Computer Hardware","52.35","Dec 24, 2015","10.56","70.8","39","30.14","0.71","26.85","30.83"
"Jointeca Education Solutions Ltd.","Technology","Computer Software","16.6","Dec 10, 2015","-4.6","17.9","16","0","1.11","16.35","16.63"
"Just Dial Ltd.","Technology","Computer Software","866.45","Dec 24, 2015","1.51","1631","740.5","38.41","7.95","5284.59","6098.92"
"Kaashyap Technologies Ltd","Technology","Computer Software","0.17","Jul 10, 2012","-5.56","-","-","74.49","0.09","22.24","11.17"
"Kanika Infotech Ltd.","Technology","Computer Software","0.2","Dec 24, 2015","5.26","0.2","0.1","0","0.1","1.34","1.35"
"Kellton Tech Solutions Ltd.","Technology","Computer Software","179.9","Dec 24, 2015","0","197","30","27.44","10.47","847.92","782.38"
"Kernex Microsystems (India) Ltd.","Technology","Computer Software","52.2","Dec 24, 2015","2.15","67","32.35","0","0.59","88.22","66"
"KLG Systel Ltd.","Technology","Computer Software","3.87","Dec 27, 2013","4.88","-","-","0","0.04","261.18","4.92"
"Koa Tools India Ltd.","Technology","Computer Software","0.2","Dec 18, 2015","0","1.25","0.2","0","0.17","0.61","0.7"
"KPIT Technologies Ltd.","Technology","Computer Software","167.85","Dec 24, 2015","0.06","232.4","85.05","14.13","2.32","3403.67","3321.51"
"LCC Infotech Ltd.","Technology","Computer Software","0.25","Dec 24, 15:19","0","0.65","0.15","0","0.01","2.98","3.16"
"Lee & Nee Softwares (Exports) Ltd.","Technology","Computer Software","3.12","Dec 24, 2015","2.97","3.9","2","0","0.33","15.47","17.4"
"Luminaire Technologies Ltd.","Technology","Computer Hardware","0.19","Dec 24, 2015","0","3.19","0.19","0","0.22","6.68","5.58"
"Lycos Internet Ltd.","Technology","Computer Software","31.65","Dec 24, 2015","-2.91","47.2","19.1","4.05","0.86","1543.31","1504.95"
"Maars Software International Ltd.","Technology","Computer Software","0.26","Mar 20, 2013","-3.7","-","-","0","0.03","76.56","3.87"
"Magnum Ltd.","Technology","Computer Software","5.18","Dec 02, 2015","-4.95","5.75","2.71","0","1.62","3.83","3.29"
"Mahaveer Infoway Ltd.","Technology","Computer Software","5.75","Oct 06, 2015","4.55","7.92","2.55","6.6","0.54","9.31","4.04"
"Majesco Ltd.","Technology","Computer Software","638.6","Dec 24, 2015","-0.41","708.8","286.8","0","5.65","1392.41","1457.08"
"Mangalya Soft-Tech Ltd.","Technology","Computer Software","1.6","Oct 23, 2015","0","2.3","1.6","400","0.14","1.58","1.6"
"Mastek Ltd.","Technology","Computer Software","190.8","Dec 24, 2015","0.34","512.6","135.85","19.67","1.36","252.35","437.31"
"Mega Corporation Ltd.","Technology","Computer Software","0.46","Dec 24, 2015","0","0.46","0.12","18.33","0.18","4.21","4.6"
"Megasoft Ltd.","Technology","Computer Software","7.2","Dec 24, 2015","0","8.9","3.8","0","0.22","122.02","32.14"
"Megri Soft Ltd.","Technology","Computer Software","12.5","Nov 04, 2015","-","12.5","12.5","2.31","0.22","-2.5","3.93"
"Melstar Information Technologies Ltd.","Technology","Computer Software","4.2","Dec 24, 15:19","0","7.65","3.45","0","1.16","17.72","9.06"
"Micro Technologies (India) Ltd.","Technology","Computer Software","3.6","Jun 16, 2014","-4","-","-","0","0.03","501.57","12.31"
"Mindteck (India) Ltd.","Technology","Computer Software","154.5","Dec 24, 2015","-1.84","194","54","17.65","2.18","354.1","388.49"
"MindTree Ltd.","Technology","Computer Software","1461.65","Dec 24, 2015","-0.55","1602.4","1150.6","22.21","5.5","11339.99","12247.79"
"Moschip Semiconductor Technology Ltd.","Technology","Computer Software","6.83","Dec 24, 2015","-5.66","7.51","3","0","-1.98","46.44","31.44"
"Moser Baer India Ltd.","Technology","Computer Hardware","9.4","Dec 24, 2015","-0.53","18.25","7.35","0","-0.15","4747.59","208.46"
"Mphasis Ltd.","Technology","Computer Software","491.55","Dec 24, 2015","-0.65","534.35","331.1","15.19","1.74","8399.36","10338.13"
"Mro-Tek Ltd.","Technology","Computer Software","37.25","Dec 24, 2015","3.91","41.5","10.1","0","3.93","87.57","69.32"
"MYM Technologies Ltd.","Technology","Computer Software","4.54","Jul 10, 2012","4.85","-","-","0","0.38","5.18","3.13"
"Net 4 India Ltd.","Technology","Computer Software","2.55","Dec 24, 2015","0","5.15","1.6","0","-0.03","237.32","5.11"
"Netlink Solutions (India) Ltd.","Technology","Computer Software","0.8","Dec 24, 2015","3.9","0.9","0.35","21.58","0.25","2.23","2.37"
"Nettlinx Ltd.","Technology","Computer Software","21.15","Dec 22, 2015","-4.73","31.75","14.6","0","1.53","22.42","24.24"
"Nexus Commodities And Technologies Ltd.","Technology","Computer Software","49.95","Jan 09, 2015","-","49.95","49.95","189.81","4.84","27.3","27.33"
"NHC Foods Ltd.","Technology","Computer Software","18.25","Dec 24, 2015","-1.08","24.75","12","0","1.23","33.62","20.61"
"NIIT Ltd.","Technology","Computer Software","98.05","Dec 24, 2015","0","104.9","34.8","0","1.99","1685.57","1617.86"
"NIIT Technologies Ltd.","Technology","Computer Software","586.85","Dec 24, 2015","-0.92","631","325.55","22.72","3.2","3275.59","3591.58"
"Northgate Com Tech Ltd.","Technology","Computer Software","2","Dec 24, 2015","-2.44","2.5","0.7","0","-1.9","20.82","9.8"
"Nucleus Software Exports Ltd.","Technology","Computer Software","259.85","Dec 24, 2015","-1.35","352.9","160.05","16.28","1.87","557.81","839.06"
"Odyssey Technologies Ltd.","Technology","Computer Software","34.5","Dec 24, 2015","-2.82","98.15","29.05","12.39","3.01","26.68","30.58"
"Omega Interactive Technologies Ltd.","Technology","Computer Software","99.3","Aug 27, 2015","-4.98","128.9","62","310.31","6.55","4.94","4.96"
"Omni AXs Software Ltd.","Technology","Computer Software","0.55","Dec 22, 2015","-3.51","1.54","0.55","0","0.08","1.18","0.95"
"Omnitech Infosolutions Ltd.","Technology","Computer Software","3.15","Dec 24, 2015","-4.55","9.9","3.15","0","-0.1","240.01","4.73"
